
x:0, y:0, z:15 grains: []
x:5, y:9, z:10 grains: []

x:6, y:9, z:10 grains: []

x:7, y:9, z:10 grains: []

x:8, y:9, z:10 grains: []

x:9, y:9, z:10 grains: []

x:10, y:9, z:10 grains: []

x:11, y:9, z:10 grains: []

x:12, y:9, z:10 grains: []

x:13, y:9, z:10 grains: []

x:14, y:9, z:10 grains: []

x:15, y:9, z:10 grains: []

x:16, y:9, z:10 grains: []

x:17, y:9, z:10 grains: []

x:18, y:9, z:10 grains: []

x:19, y:9, z:10 grains: []

x:20, y:9, z:10 grains: []

x:0, y:10, z:10 grains: []

x:1, y:10, z:10 grains: []

x:2, y:10, z:10 grains: []

x:3, y:10, z:10 grains: []

x:4, y:10, z:10 grains: []

x:5, y:10, z:10 grains: []

x:6, y:10, z:10 grains: []

x:7, y:10, z:10 grains: []

x:8, y:10, z:10 grains: []

x:9, y:10, z:10 grains: []

x:10, y:10, z:10 grains: []

x:11, y:10, z:10 grains: []

x:12, y:10, z:10 grains: []

x:13, y:10, z:10 grains: []

x:14, y:10, z:10 grains: []

x:15, y:10, z:10 grains: []

x:16, y:10, z:10 grains: []

x:17, y:10, z:10 grains: []

x:18, y:10, z:10 grains: []

x:19, y:10, z:10 grains: []

x:20, y:10, z:10 grains: []

x:0, y:11, z:10 grains: []

x:1, y:11, z:10 grains: []

x:2, y:11, z:10 grains: []

x:3, y:11, z:10 grains: []

x:4, y:11, z:10 grains: []

x:5, y:11, z:10 grains: []

x:6, y:11, z:10 grains: []

x:7, y:11, z:10 grains: []

x:8, y:11, z:10 grains: []

x:9, y:11, z:10 grains: []

x:10, y:11, z:10 grains: []

x:11, y:11, z:10 grains: []

x:12, y:11, z:10 grains: []

x:13, y:11, z:10 grains: []

x:14, y:11, z:10 grains: []

x:15, y:11, z:10 grains: []

x:16, y:11, z:10 grains: []

x:17, y:11, z:10 grains: []

x:18, y:11, z:10 grains: []

x:19, y:11, z:10 grains: []

x:20, y:11, z:10 grains: []

x:0, y:12, z:10 grains: []

x:1, y:12, z:10 grains: []

x:2, y:12, z:10 grains: []

x:3, y:12, z:10 grains: []

x:4, y:12, z:10 grains: []

x:5, y:12, z:10 grains: []

x:6, y:12, z:10 grains: []

x:7, y:12, z:10 grains: []

x:8, y:12, z:10 grains: []

x:9, y:12, z:10 grains: []

x:10, y:12, z:10 grains: []

x:11, y:12, z:10 grains: []

x:12, y:12, z:10 grains: []

x:13, y:12, z:10 grains: []

x:14, y:12, z:10 grains: []

x:15, y:12, z:10 grains: []

x:16, y:12, z:10 grains: []

x:17, y:12, z:10 grains: []

x:18, y:12, z:10 grains: []

x:19, y:12, z:10 grains: []

x:20, y:12, z:10 grains: []

x:0, y:13, z:10 grains: []

x:1, y:13, z:10 grains: []

x:2, y:13, z:10 grains: []

x:3, y:13, z:10 grains: []

x:4, y:13, z:10 grains: []

x:5, y:13, z:10 grains: []

x:6, y:13, z:10 grains: []

x:7, y:13, z:10 grains: []

x:8, y:13, z:10 grains: []

x:9, y:13, z:10 grains: []

x:10, y:13, z:10 grains: []

x:11, y:13, z:10 grains: []

x:12, y:13, z:10 grains: []

x:13, y:13, z:10 grains: []

x:14, y:13, z:10 grains: []

x:15, y:13, z:10 grains: []

x:16, y:13, z:10 grains: []

x:17, y:13, z:10 grains: []

x:18, y:13, z:10 grains: []

x:19, y:13, z:10 grains: []

x:20, y:13, z:10 grains: []

x:0, y:14, z:10 grains: []

x:1, y:14, z:10 grains: []

x:2, y:14, z:10 grains: []

x:3, y:14, z:10 grains: []

x:4, y:14, z:10 grains: []

x:5, y:14, z:10 grains: []

x:6, y:14, z:10 grains: []

x:7, y:14, z:10 grains: []

x:8, y:14, z:10 grains: []

x:9, y:14, z:10 grains: []

x:10, y:14, z:10 grains: []

x:11, y:14, z:10 grains: []

x:12, y:14, z:10 grains: []

x:13, y:14, z:10 grains: []

x:14, y:14, z:10 grains: []

x:15, y:14, z:10 grains: []

x:16, y:14, z:10 grains: []

x:17, y:14, z:10 grains: []

x:18, y:14, z:10 grains: []

x:19, y:14, z:10 grains: []

x:20, y:14, z:10 grains: []

x:0, y:15, z:10 grains: []

x:1, y:15, z:10 grains: []

x:2, y:15, z:10 grains: []

x:3, y:15, z:10 grains: []

x:4, y:15, z:10 grains: []

x:5, y:15, z:10 grains: []

x:6, y:15, z:10 grains: []

x:7, y:15, z:10 grains: []

x:8, y:15, z:10 grains: []

x:9, y:15, z:10 grains: []

x:10, y:15, z:10 grains: []

x:11, y:15, z:10 grains: []

x:12, y:15, z:10 grains: []

x:13, y:15, z:10 grains: []

x:14, y:15, z:10 grains: []

x:15, y:15, z:10 grains: []

x:16, y:15, z:10 grains: []

x:17, y:15, z:10 grains: []

x:18, y:15, z:10 grains: []

x:19, y:15, z:10 grains: []

x:20, y:15, z:10 grains: []

x:0, y:16, z:10 grains: []

x:1, y:16, z:10 grains: []

x:2, y:16, z:10 grains: []

x:3, y:16, z:10 grains: []

x:4, y:16, z:10 grains: []

x:5, y:16, z:10 grains: []

x:6, y:16, z:10 grains: []

x:7, y:16, z:10 grains: []

x:8, y:16, z:10 grains: []

x:9, y:16, z:10 grains: []

x:10, y:16, z:10 grains: []

x:11, y:16, z:10 grains: []

x:12, y:16, z:10 grains: []

x:13, y:16, z:10 grains: []

x:14, y:16, z:10 grains: []

x:15, y:16, z:10 grains: []

x:16, y:16, z:10 grains: []

x:17, y:16, z:10 grains: []

x:18, y:16, z:10 grains: []

x:19, y:16, z:10 grains: []

x:20, y:16, z:10 grains: []

x:0, y:17, z:10 grains: []

x:1, y:17, z:10 grains: []

x:2, y:17, z:10 grains: []

x:3, y:17, z:10 grains: []

x:4, y:17, z:10 grains: []

x:5, y:17, z:10 grains: []

x:6, y:17, z:10 grains: []

x:7, y:17, z:10 grains: []

x:8, y:17, z:10 grains: []

x:9, y:17, z:10 grains: []

x:10, y:17, z:10 grains: []

x:11, y:17, z:10 grains: []

x:12, y:17, z:10 grains: []

x:13, y:17, z:10 grains: []

x:14, y:17, z:10 grains: []

x:15, y:17, z:10 grains: []

x:16, y:17, z:10 grains: []

x:17, y:17, z:10 grains: []

x:18, y:17, z:10 grains: []

x:19, y:17, z:10 grains: []

x:20, y:17, z:10 grains: []

x:0, y:18, z:10 grains: []

x:1, y:18, z:10 grains: []

x:2, y:18, z:10 grains: []

x:3, y:18, z:10 grains: []

x:4, y:18, z:10 grains: []

x:5, y:18, z:10 grains: []

x:6, y:18, z:10 grains: []

x:7, y:18, z:10 grains: []

x:8, y:18, z:10 grains: []

x:9, y:18, z:10 grains: []

x:10, y:18, z:10 grains: []

x:11, y:18, z:10 grains: []

x:12, y:18, z:10 grains: []

x:13, y:18, z:10 grains: []

x:14, y:18, z:10 grains: []

x:15, y:18, z:10 grains: []

x:16, y:18, z:10 grains: []

x:17, y:18, z:10 grains: []

x:18, y:18, z:10 grains: []

x:19, y:18, z:10 grains: []

x:20, y:18, z:10 grains: []

x:0, y:19, z:10 grains: []

x:1, y:19, z:10 grains: []

x:2, y:19, z:10 grains: []

x:3, y:19, z:10 grains: []

x:4, y:19, z:10 grains: []

x:5, y:19, z:10 grains: []

x:6, y:19, z:10 grains: []

x:7, y:19, z:10 grains: []

x:8, y:19, z:10 grains: []

x:9, y:19, z:10 grains: []

x:10, y:19, z:10 grains: []

x:11, y:19, z:10 grains: []

x:12, y:19, z:10 grains: []

x:13, y:19, z:10 grains: []

x:14, y:19, z:10 grains: []

x:15, y:19, z:10 grains: []

x:16, y:19, z:10 grains: []

x:17, y:19, z:10 grains: []

x:18, y:19, z:10 grains: []

x:19, y:19, z:10 grains: []

x:20, y:19, z:10 grains: []

x:0, y:20, z:10 grains: []

x:1, y:20, z:10 grains: []

x:2, y:20, z:10 grains: []

x:3, y:20, z:10 grains: []

x:4, y:20, z:10 grains: []

x:5, y:20, z:10 grains: []

x:6, y:20, z:10 grains: []

x:7, y:20, z:10 grains: []

x:8, y:20, z:10 grains: []

x:9, y:20, z:10 grains: []

x:10, y:20, z:10 grains: []

x:11, y:20, z:10 grains: []

x:12, y:20, z:10 grains: []

x:13, y:20, z:10 grains: []

x:14, y:20, z:10 grains: []

x:15, y:20, z:10 grains: []

x:16, y:20, z:10 grains: []

x:17, y:20, z:10 grains: []

x:18, y:20, z:10 grains: []

x:19, y:20, z:10 grains: []

x:20, y:20, z:10 grains: []

x:0, y:0, z:9 grains: []

x:1, y:0, z:9 grains: []

x:2, y:0, z:9 grains: []

x:3, y:0, z:9 grains: []

x:4, y:0, z:9 grains: []

x:5, y:0, z:9 grains: []

x:6, y:0, z:9 grains: []

x:7, y:0, z:9 grains: []

x:8, y:0, z:9 grains: []

x:9, y:0, z:9 grains: []

x:10, y:0, z:9 grains: []

x:11, y:0, z:9 grains: []

x:12, y:0, z:9 grains: []

x:13, y:0, z:9 grains: []

x:14, y:0, z:9 grains: []

x:15, y:0, z:9 grains: []

x:16, y:0, z:9 grains: []

x:17, y:0, z:9 grains: []

x:18, y:0, z:9 grains: []

x:19, y:0, z:9 grains: []

x:20, y:0, z:9 grains: []

x:0, y:1, z:9 grains: []

x:1, y:1, z:9 grains: []

x:2, y:1, z:9 grains: []

x:3, y:1, z:9 grains: []

x:4, y:1, z:9 grains: []

x:5, y:1, z:9 grains: []

x:6, y:1, z:9 grains: []

x:7, y:1, z:9 grains: []

x:8, y:1, z:9 grains: []

x:9, y:1, z:9 grains: []

x:10, y:1, z:9 grains: []

x:11, y:1, z:9 grains: []

x:12, y:1, z:9 grains: []

x:13, y:1, z:9 grains: []

x:14, y:1, z:9 grains: []

x:15, y:1, z:9 grains: []

x:16, y:1, z:9 grains: []

x:17, y:1, z:9 grains: []

x:18, y:1, z:9 grains: []

x:19, y:1, z:9 grains: []

x:20, y:1, z:9 grains: []

x:0, y:2, z:9 grains: []

x:1, y:2, z:9 grains: []

x:2, y:2, z:9 grains: []

x:3, y:2, z:9 grains: []

x:4, y:2, z:9 grains: []

x:5, y:2, z:9 grains: []

x:6, y:2, z:9 grains: []

x:7, y:2, z:9 grains: []

x:8, y:2, z:9 grains: []

x:9, y:2, z:9 grains: []

x:10, y:2, z:9 grains: []

x:11, y:2, z:9 grains: []

x:12, y:2, z:9 grains: []

x:13, y:2, z:9 grains: []

x:14, y:2, z:9 grains: []

x:15, y:2, z:9 grains: []

x:16, y:2, z:9 grains: []

x:17, y:2, z:9 grains: []

x:18, y:2, z:9 grains: []

x:19, y:2, z:9 grains: []

x:20, y:2, z:9 grains: []

x:0, y:3, z:9 grains: []

x:1, y:3, z:9 grains: []

x:2, y:3, z:9 grains: []

x:3, y:3, z:9 grains: []

x:4, y:3, z:9 grains: []

x:5, y:3, z:9 grains: []

x:6, y:3, z:9 grains: []

x:7, y:3, z:9 grains: []

x:8, y:3, z:9 grains: []

x:9, y:3, z:9 grains: []

x:10, y:3, z:9 grains: []

x:11, y:3, z:9 grains: []

x:12, y:3, z:9 grains: []

x:13, y:3, z:9 grains: []

x:14, y:3, z:9 grains: []

x:15, y:3, z:9 grains: []

x:16, y:3, z:9 grains: []

x:17, y:3, z:9 grains: []

x:18, y:3, z:9 grains: []

x:19, y:3, z:9 grains: []

x:20, y:3, z:9 grains: []

x:0, y:4, z:9 grains: []

x:1, y:4, z:9 grains: []

x:2, y:4, z:9 grains: []

x:3, y:4, z:9 grains: []

x:4, y:4, z:9 grains: []

x:5, y:4, z:9 grains: []

x:6, y:4, z:9 grains: []

x:7, y:4, z:9 grains: []

x:8, y:4, z:9 grains: []

x:9, y:4, z:9 grains: []

x:10, y:4, z:9 grains: []

x:11, y:4, z:9 grains: []

x:12, y:4, z:9 grains: []

x:13, y:4, z:9 grains: []

x:14, y:4, z:9 grains: []

x:15, y:4, z:9 grains: []

x:16, y:4, z:9 grains: []

x:17, y:4, z:9 grains: []

x:18, y:4, z:9 grains: []

x:19, y:4, z:9 grains: []

x:20, y:4, z:9 grains: []

x:0, y:5, z:9 grains: []

x:1, y:5, z:9 grains: []

x:2, y:5, z:9 grains: []

x:3, y:5, z:9 grains: []

x:4, y:5, z:9 grains: []

x:5, y:5, z:9 grains: []

x:6, y:5, z:9 grains: []

x:7, y:5, z:9 grains: []

x:8, y:5, z:9 grains: []

x:9, y:5, z:9 grains: []

x:10, y:5, z:9 grains: []

x:11, y:5, z:9 grains: []

x:12, y:5, z:9 grains: []

x:13, y:5, z:9 grains: []

x:14, y:5, z:9 grains: []

x:15, y:5, z:9 grains: []

x:16, y:5, z:9 grains: []

x:17, y:5, z:9 grains: []

x:18, y:5, z:9 grains: []

x:19, y:5, z:9 grains: []

x:20, y:5, z:9 grains: []

x:0, y:6, z:9 grains: []

x:1, y:6, z:9 grains: []

x:2, y:6, z:9 grains: []

x:3, y:6, z:9 grains: []

x:4, y:6, z:9 grains: []

x:5, y:6, z:9 grains: []

x:6, y:6, z:9 grains: []

x:7, y:6, z:9 grains: []

x:8, y:6, z:9 grains: []

x:9, y:6, z:9 grains: []

x:10, y:6, z:9 grains: []

x:11, y:6, z:9 grains: []

x:12, y:6, z:9 grains: []

x:13, y:6, z:9 grains: []

x:14, y:6, z:9 grains: []

x:15, y:6, z:9 grains: []

x:16, y:6, z:9 grains: []

x:17, y:6, z:9 grains: []

x:18, y:6, z:9 grains: []

x:19, y:6, z:9 grains: []

x:20, y:6, z:9 grains: []

x:0, y:7, z:9 grains: []

x:1, y:7, z:9 grains: []

x:2, y:7, z:9 grains: []

x:3, y:7, z:9 grains: []

x:4, y:7, z:9 grains: []

x:5, y:7, z:9 grains: []

x:6, y:7, z:9 grains: []

x:7, y:7, z:9 grains: []

x:8, y:7, z:9 grains: []

x:9, y:7, z:9 grains: []

x:10, y:7, z:9 grains: []

x:11, y:7, z:9 grains: []

x:12, y:7, z:9 grains: []

x:13, y:7, z:9 grains: []

x:14, y:7, z:9 grains: []

x:15, y:7, z:9 grains: []

x:16, y:7, z:9 grains: []

x:17, y:7, z:9 grains: []

x:18, y:7, z:9 grains: []

x:19, y:7, z:9 grains: []

x:20, y:7, z:9 grains: []

x:0, y:8, z:9 grains: []

x:1, y:8, z:9 grains: []

x:2, y:8, z:9 grains: []

x:3, y:8, z:9 grains: []

x:4, y:8, z:9 grains: []

x:5, y:8, z:9 grains: []

x:6, y:8, z:9 grains: []

x:7, y:8, z:9 grains: []

x:8, y:8, z:9 grains: []

x:9, y:8, z:9 grains: []

x:10, y:8, z:9 grains: []

x:11, y:8, z:9 grains: []

x:12, y:8, z:9 grains: []

x:13, y:8, z:9 grains: []

x:14, y:8, z:9 grains: []

x:15, y:8, z:9 grains: []

x:16, y:8, z:9 grains: []

x:17, y:8, z:9 grains: []

x:18, y:8, z:9 grains: []

x:19, y:8, z:9 grains: []

x:20, y:8, z:9 grains: []

x:0, y:9, z:9 grains: []

x:1, y:9, z:9 grains: []

x:2, y:9, z:9 grains: []

x:3, y:9, z:9 grains: []

x:4, y:9, z:9 grains: []

x:5, y:9, z:9 grains: []

x:6, y:9, z:9 grains: []

x:7, y:9, z:9 grains: []

x:8, y:9, z:9 grains: []

x:9, y:9, z:9 grains: []

x:10, y:9, z:9 grains: []

x:11, y:9, z:9 grains: []

x:12, y:9, z:9 grains: []

x:13, y:9, z:9 grains: []

x:14, y:9, z:9 grains: []

x:15, y:9, z:9 grains: []

x:16, y:9, z:9 grains: []

x:17, y:9, z:9 grains: []

x:18, y:9, z:9 grains: []

x:19, y:9, z:9 grains: []

x:20, y:9, z:9 grains: []

x:0, y:10, z:9 grains: []

x:1, y:10, z:9 grains: []

x:2, y:10, z:9 grains: []

x:3, y:10, z:9 grains: []

x:4, y:10, z:9 grains: []

x:5, y:10, z:9 grains: []

x:6, y:10, z:9 grains: []

x:7, y:10, z:9 grains: []

x:8, y:10, z:9 grains: []

x:9, y:10, z:9 grains: []

x:10, y:10, z:9 grains: []

x:11, y:10, z:9 grains: [55629]
 Grain id: 55629, x: 11, y: 10, z: 9, energy: 2705

x:12, y:10, z:9 grains: []

x:13, y:10, z:9 grains: []

x:14, y:10, z:9 grains: []

x:15, y:10, z:9 grains: []

x:16, y:10, z:9 grains: []

x:17, y:10, z:9 grains: []

x:18, y:10, z:9 grains: []

x:19, y:10, z:9 grains: []

x:20, y:10, z:9 grains: []

x:0, y:11, z:9 grains: []

x:1, y:11, z:9 grains: []

x:2, y:11, z:9 grains: []

x:3, y:11, z:9 grains: []

x:4, y:11, z:9 grains: []

x:5, y:11, z:9 grains: []

x:6, y:11, z:9 grains: []

x:7, y:11, z:9 grains: []

x:8, y:11, z:9 grains: []

x:9, y:11, z:9 grains: []

x:10, y:11, z:9 grains: []

x:11, y:11, z:9 grains: []

x:12, y:11, z:9 grains: []

x:13, y:11, z:9 grains: []

x:14, y:11, z:9 grains: []

x:15, y:11, z:9 grains: []

x:16, y:11, z:9 grains: []

x:17, y:11, z:9 grains: []

x:18, y:11, z:9 grains: []

x:19, y:11, z:9 grains: []

x:20, y:11, z:9 grains: []

x:0, y:12, z:9 grains: []

x:1, y:12, z:9 grains: []

x:2, y:12, z:9 grains: []

x:3, y:12, z:9 grains: []

x:4, y:12, z:9 grains: []

x:5, y:12, z:9 grains: []

x:6, y:12, z:9 grains: []

x:7, y:12, z:9 grains: []

x:8, y:12, z:9 grains: []

x:9, y:12, z:9 grains: []

x:10, y:12, z:9 grains: []

x:11, y:12, z:9 grains: []

x:12, y:12, z:9 grains: []

x:13, y:12, z:9 grains: []

x:14, y:12, z:9 grains: []

x:15, y:12, z:9 grains: []

x:16, y:12, z:9 grains: []

x:17, y:12, z:9 grains: []

x:18, y:12, z:9 grains: []

x:19, y:12, z:9 grains: []

x:20, y:12, z:9 grains: []

x:0, y:13, z:9 grains: []

x:1, y:13, z:9 grains: []

x:2, y:13, z:9 grains: []

x:3, y:13, z:9 grains: []

x:4, y:13, z:9 grains: []

x:5, y:13, z:9 grains: []

x:6, y:13, z:9 grains: []

x:7, y:13, z:9 grains: []

x:8, y:13, z:9 grains: []

x:9, y:13, z:9 grains: []

x:10, y:13, z:9 grains: []

x:11, y:13, z:9 grains: []

x:12, y:13, z:9 grains: []

x:13, y:13, z:9 grains: []

x:14, y:13, z:9 grains: []

x:15, y:13, z:9 grains: []

x:16, y:13, z:9 grains: []

x:17, y:13, z:9 grains: []

x:18, y:13, z:9 grains: []

x:19, y:13, z:9 grains: []

x:20, y:13, z:9 grains: []

x:0, y:14, z:9 grains: []

x:1, y:14, z:9 grains: []

x:2, y:14, z:9 grains: []

x:3, y:14, z:9 grains: []

x:4, y:14, z:9 grains: []

x:5, y:14, z:9 grains: []

x:6, y:14, z:9 grains: []

x:7, y:14, z:9 grains: []

x:8, y:14, z:9 grains: []

x:9, y:14, z:9 grains: []

x:10, y:14, z:9 grains: []

x:11, y:14, z:9 grains: []

x:12, y:14, z:9 grains: []

x:13, y:14, z:9 grains: []

x:14, y:14, z:9 grains: []

x:15, y:14, z:9 grains: []

x:16, y:14, z:9 grains: []

x:17, y:14, z:9 grains: []

x:18, y:14, z:9 grains: []

x:19, y:14, z:9 grains: []

x:20, y:14, z:9 grains: []

x:0, y:15, z:9 grains: []

x:1, y:15, z:9 grains: []

x:2, y:15, z:9 grains: []

x:3, y:15, z:9 grains: []

x:4, y:15, z:9 grains: []

x:5, y:15, z:9 grains: []

x:6, y:15, z:9 grains: []

x:7, y:15, z:9 grains: []

x:8, y:15, z:9 grains: []

x:9, y:15, z:9 grains: []

x:10, y:15, z:9 grains: []

x:11, y:15, z:9 grains: []

x:12, y:15, z:9 grains: []

x:13, y:15, z:9 grains: []

x:14, y:15, z:9 grains: []

x:15, y:15, z:9 grains: []

x:16, y:15, z:9 grains: []

x:17, y:15, z:9 grains: []

x:18, y:15, z:9 grains: []

x:19, y:15, z:9 grains: []

x:20, y:15, z:9 grains: []

x:0, y:16, z:9 grains: []

x:1, y:16, z:9 grains: []

x:2, y:16, z:9 grains: []

x:3, y:16, z:9 grains: []

x:4, y:16, z:9 grains: []

x:5, y:16, z:9 grains: []

x:6, y:16, z:9 grains: []

x:7, y:16, z:9 grains: []

x:8, y:16, z:9 grains: []

x:9, y:16, z:9 grains: []

x:10, y:16, z:9 grains: []

x:11, y:16, z:9 grains: []

x:12, y:16, z:9 grains: []

x:13, y:16, z:9 grains: []

x:14, y:16, z:9 grains: []

x:15, y:16, z:9 grains: []

x:16, y:16, z:9 grains: []

x:17, y:16, z:9 grains: []

x:18, y:16, z:9 grains: []

x:19, y:16, z:9 grains: []

x:20, y:16, z:9 grains: []

x:0, y:17, z:9 grains: []

x:1, y:17, z:9 grains: []

x:2, y:17, z:9 grains: []

x:3, y:17, z:9 grains: []

x:4, y:17, z:9 grains: []

x:5, y:17, z:9 grains: []

x:6, y:17, z:9 grains: []

x:7, y:17, z:9 grains: []

x:8, y:17, z:9 grains: []

x:9, y:17, z:9 grains: []

x:10, y:17, z:9 grains: []

x:11, y:17, z:9 grains: []

x:12, y:17, z:9 grains: []

x:13, y:17, z:9 grains: []

x:14, y:17, z:9 grains: []

x:15, y:17, z:9 grains: []

x:16, y:17, z:9 grains: []

x:17, y:17, z:9 grains: []

x:18, y:17, z:9 grains: []

x:19, y:17, z:9 grains: []

x:20, y:17, z:9 grains: []

x:0, y:18, z:9 grains: []

x:1, y:18, z:9 grains: []

x:2, y:18, z:9 grains: []

x:3, y:18, z:9 grains: []

x:4, y:18, z:9 grains: []

x:5, y:18, z:9 grains: []

x:6, y:18, z:9 grains: []

x:7, y:18, z:9 grains: []

x:8, y:18, z:9 grains: []

x:9, y:18, z:9 grains: []

x:10, y:18, z:9 grains: []

x:11, y:18, z:9 grains: []

x:12, y:18, z:9 grains: []

x:13, y:18, z:9 grains: []

x:14, y:18, z:9 grains: []

x:15, y:18, z:9 grains: []

x:16, y:18, z:9 grains: []

x:17, y:18, z:9 grains: []

x:18, y:18, z:9 grains: []

x:19, y:18, z:9 grains: []

x:20, y:18, z:9 grains: []

x:0, y:19, z:9 grains: []

x:1, y:19, z:9 grains: []

x:2, y:19, z:9 grains: []

x:3, y:19, z:9 grains: []

x:4, y:19, z:9 grains: []

x:5, y:19, z:9 grains: []

x:6, y:19, z:9 grains: []

x:7, y:19, z:9 grains: []

x:8, y:19, z:9 grains: []

x:9, y:19, z:9 grains: []

x:10, y:19, z:9 grains: []

x:11, y:19, z:9 grains: []

x:12, y:19, z:9 grains: []

x:13, y:19, z:9 grains: []

x:14, y:19, z:9 grains: []

x:15, y:19, z:9 grains: []

x:16, y:19, z:9 grains: []

x:17, y:19, z:9 grains: []

x:18, y:19, z:9 grains: []

x:19, y:19, z:9 grains: []

x:20, y:19, z:9 grains: []

x:0, y:20, z:9 grains: []

x:1, y:20, z:9 grains: []

x:2, y:20, z:9 grains: []

x:3, y:20, z:9 grains: []

x:4, y:20, z:9 grains: []

x:5, y:20, z:9 grains: []

x:6, y:20, z:9 grains: []

x:7, y:20, z:9 grains: []

x:8, y:20, z:9 grains: []

x:9, y:20, z:9 grains: []

x:10, y:20, z:9 grains: []

x:11, y:20, z:9 grains: []

x:12, y:20, z:9 grains: []

x:13, y:20, z:9 grains: []

x:14, y:20, z:9 grains: []

x:15, y:20, z:9 grains: []

x:16, y:20, z:9 grains: []

x:17, y:20, z:9 grains: []

x:18, y:20, z:9 grains: []

x:19, y:20, z:9 grains: []

x:20, y:20, z:9 grains: []

x:0, y:0, z:8 grains: []

x:1, y:0, z:8 grains: []

x:2, y:0, z:8 grains: []

x:3, y:0, z:8 grains: []

x:4, y:0, z:8 grains: []

x:5, y:0, z:8 grains: []

x:6, y:0, z:8 grains: []

x:7, y:0, z:8 grains: []

x:8, y:0, z:8 grains: []

x:9, y:0, z:8 grains: []

x:10, y:0, z:8 grains: []

x:11, y:0, z:8 grains: []

x:12, y:0, z:8 grains: []

x:13, y:0, z:8 grains: []

x:14, y:0, z:8 grains: []

x:15, y:0, z:8 grains: []

x:16, y:0, z:8 grains: []

x:17, y:0, z:8 grains: []

x:18, y:0, z:8 grains: []

x:19, y:0, z:8 grains: []

x:20, y:0, z:8 grains: []

x:0, y:1, z:8 grains: []

x:1, y:1, z:8 grains: []

x:2, y:1, z:8 grains: []

x:3, y:1, z:8 grains: []

x:4, y:1, z:8 grains: []

x:5, y:1, z:8 grains: []

x:6, y:1, z:8 grains: []

x:7, y:1, z:8 grains: []

x:8, y:1, z:8 grains: []

x:9, y:1, z:8 grains: []

x:10, y:1, z:8 grains: []

x:11, y:1, z:8 grains: []

x:12, y:1, z:8 grains: []

x:13, y:1, z:8 grains: []

x:14, y:1, z:8 grains: []

x:15, y:1, z:8 grains: []

x:16, y:1, z:8 grains: []

x:17, y:1, z:8 grains: []

x:18, y:1, z:8 grains: []

x:19, y:1, z:8 grains: []

x:20, y:1, z:8 grains: []

x:0, y:2, z:8 grains: []

x:1, y:2, z:8 grains: []

x:2, y:2, z:8 grains: []

x:3, y:2, z:8 grains: []

x:4, y:2, z:8 grains: []

x:5, y:2, z:8 grains: []

x:6, y:2, z:8 grains: []

x:7, y:2, z:8 grains: []

x:8, y:2, z:8 grains: []

x:9, y:2, z:8 grains: []

x:10, y:2, z:8 grains: []

x:11, y:2, z:8 grains: []

x:12, y:2, z:8 grains: []

x:13, y:2, z:8 grains: []

x:14, y:2, z:8 grains: []

x:15, y:2, z:8 grains: []

x:16, y:2, z:8 grains: []

x:17, y:2, z:8 grains: []

x:18, y:2, z:8 grains: []

x:19, y:2, z:8 grains: []

x:20, y:2, z:8 grains: []

x:0, y:3, z:8 grains: []

x:1, y:3, z:8 grains: []

x:2, y:3, z:8 grains: []

x:3, y:3, z:8 grains: []

x:4, y:3, z:8 grains: []

x:5, y:3, z:8 grains: []

x:6, y:3, z:8 grains: []

x:7, y:3, z:8 grains: []

x:8, y:3, z:8 grains: []

x:9, y:3, z:8 grains: []

x:10, y:3, z:8 grains: []

x:11, y:3, z:8 grains: []

x:12, y:3, z:8 grains: []

x:13, y:3, z:8 grains: []

x:14, y:3, z:8 grains: []

x:15, y:3, z:8 grains: []

x:16, y:3, z:8 grains: []

x:17, y:3, z:8 grains: []

x:18, y:3, z:8 grains: []

x:19, y:3, z:8 grains: []

x:20, y:3, z:8 grains: []

x:0, y:4, z:8 grains: []

x:1, y:4, z:8 grains: []

